LFM_PROFILE | model.layers.{}.ffn_out-14 | MUL | 6
LFM_PROFILE | ffn_gate-14 | MUL_MAT | 10867
LFM_PROFILE | ffn_up-14 | MUL_MAT | 10742
LFM_PROFILE | ffn_swiglu-14 | GLU | 224
LFM_PROFILE | blk.14.ffn_down.weight | MUL_MAT | 18005
LFM_PROFILE | node_511 | ADD | 9
LFM_PROFILE | norm-15 | RMS_NORM | 23
LFM_PROFILE | model.layers.{}.operator_norm-15 | MUL | 6
LFM_PROFILE | model.layers.{}.conv.in_proj-15 | MUL_MAT | 8153
LFM_PROFILE | model.layers.{}.conv.in_proj-15 (view) | MUL | 10
LFM_PROFILE | node_505 (reshaped) | CONCAT | 74
LFM_PROFILE | cache_r_l15 (view) (copy of  (view)) | CPY | 3
LFM_PROFILE | node_518 | GET_ROWS | 5
LFM_PROFILE | model.layers.{}.conv.conv-15 | SSM_CONV | 6
LFM_PROFILE | model.layers.{}.conv.in_proj-15 (view) | MUL | 9
LFM_PROFILE | model.layers.{}.conv.out_proj-15 | MUL_MAT | 2755
LFM_PROFILE | model.layers.{}.conv.out_proj-15 (reshaped) | GET_ROWS | 57
LFM_PROFILE | node_531 | ADD | 9
LFM_PROFILE | norm-15 | RMS_NORM | 24
LFM_PROFILE | model.layers.{}.ffn_out-15 | MUL | 9
LFM_PROFILE | ffn_gate-15 | MUL_MAT | 5831
LFM_PROFILE | ffn_up-15 | MUL_MAT | 5866
LFM_PROFILE | ffn_swiglu-15 | GLU | 250
LFM_PROFILE | blk.15.ffn_down.weight | MUL_MAT | 3905
LFM_PROFILE | node_538 | ADD | 12
LFM_PROFILE | norm | RMS_NORM | 24
LFM_PROFILE | result_norm | MUL | 8
LFM_PROFILE | result_output | MUL_MAT | 54757
LFM_PROFILE | model.embed_tokens | GET_ROWS | 17
LFM_PROFILE | cache_r_l0 (reshaped) (view) (view) | SCALE | 9
LFM_PROFILE | cache_r_l0 (reshaped) | GET_ROWS | 6
LFM_PROFILE | cache_r_l0 (reshaped) | GET_ROWS | 0
LFM_PROFILE | cache_r_l0 (view) (copy of ) | CPY | 0
LFM_PROFILE | norm-0 | RMS_NORM | 23
LFM_PROFILE | model.layers.{}.operator_norm-0 | MUL | 5
LFM_PROFILE | model.layers.{}.conv.in_proj-0 | MUL_MAT | 7557
LFM_PROFILE | model.layers.{}.conv.in_proj-0 (view) | MUL | 9
LFM_PROFILE | node_5 (reshaped) | CONCAT | 76
LFM_PROFILE | cache_r_l0 (view) (copy of  (view)) | CPY | 3
LFM_PROFILE | cache_r_l1 (reshaped) (view) (view) | SCALE | 9
LFM_PROFILE | cache_r_l1 (reshaped) | GET_ROWS | 5
